idRuta,rutaDirection,estNumber,estId
346,,1,7683
346,,2,7682
346,,3,7678
346,,4,7657
346,,5,7656
346,,6,7655
346,,7,7653
346,,8,7652
346,,9,7635
346,,10,7603
346,,11,7604
346,,12,7605
346,,13,7607
346,,14,7608
346,,15,7613
346,,16,7614
346,,17,7616
346,,18,7618
346,,19,7619
539,,1,1924
539,,2,2247
539,,3,3643
539,,4,3640
539,,5,7772
539,,6,3641
539,,7,3644
539,,8,2210
539,,9,7773
293,,0,7675
293,,1,7673
293,,2,7671
293,,3,7668
293,,4,7596
293,,5,7589
293,,6,7603
293,,7,7605
293,,8,7611
293,,9,7617
390,,0,7714
390,,1,7655
390,,2,7657
390,,3,7678
390,,4,7681
390,,5,7683
390,,6,7688
390,,7,7689
390,,8,7690
390,,9,7691
127,A,1,2235
127,A,2,2255
127,A,3,760
127,A,4,763
127,A,5,767
127,A,6,771
127,A,7,775
127,A,8,779
127,A,9,783
127,A,10,787
127,A,11,791
127,A,12,1
127,A,13,3
127,A,14,5
127,A,15,7
127,A,16,9
127,A,17,10
127,A,18,11
127,A,19,12
127,A,20,15
127,A,21,18
127,A,22,21
127,A,23,24
127,A,24,468
127,A,25,471
127,A,26,474
127,A,27,477
127,A,28,480
127,A,29,205
127,A,30,208
127,A,31,211
127,A,32,214
127,A,33,215
127,A,34,220
127,A,35,223
127,A,36,224
127,A,37,228
127,A,38,231
127,A,39,234
127,A,40,236
127,A,41,238
127,A,42,240
127,A,43,1947
127,A,44,1948
127,A,45,1949
127,A,46,2022
127,A,47,2023
127,A,48,2294
127,A,49,1433
127,A,50,1435
127,A,51,1715
127,A,52,1827
127,A,53,1726
127,A,54,1751
127,A,55,1736
127,A,56,2082
127,B,1,2235
127,B,2,2255
127,B,3,760
127,B,4,763
127,B,5,767
127,B,6,771
127,B,7,775
127,B,8,779
127,B,9,783
127,B,10,787
127,B,11,791
127,B,12,1
127,B,13,3
127,B,14,5
127,B,15,7
127,B,16,9
127,B,17,10
127,B,18,11
127,B,19,12
127,B,20,15
127,B,21,18
127,B,22,21
127,B,23,24
127,B,24,468
127,B,25,471
127,B,26,474
127,B,27,477
127,B,28,480
127,B,29,205
127,B,30,208
127,B,31,211
127,B,32,214
127,B,33,215
127,B,34,220
127,B,35,223
127,B,36,224
127,B,37,228
127,B,38,231
127,B,39,234
127,B,40,236
127,B,41,238
127,B,42,240
127,B,43,1947
127,B,44,1948
127,B,45,1949
127,B,46,2022
127,B,47,2023
127,B,48,2294
127,B,49,1433
127,B,50,1435
127,B,51,1715
127,B,52,1827
127,B,53,1726
127,B,54,1751
127,B,55,1736
127,B,56,2082
594,,1,2173
594,,2,2174
594,,3,2069
594,,4,1841
594,,5,2622
594,,6,2655
594,,7,6960
594,,8,2623
594,,9,2843
594,,10,1842
594,,11,2070
594,,12,5049
594,,13,5037
538,,1,1302
538,,2,1911
538,,3,1303
538,,4,1304
538,,5,1740
538,,6,2106
538,,7,1825
538,,8,1750
332,,0,7687
332,,1,7686
332,,2,7685
332,,3,7684
332,,4,7683
332,,5,7682
332,,6,7681
332,,7,7680
332,,8,7679
332,,9,7678
332,,10,7677
332,,11,7676
332,,12,7657
332,,13,7656
332,,14,7655
332,,15,7654
332,,16,7653
332,,17,7652
332,,18,7651
332,,19,7650
332,,20,7649
332,,21,7648
332,,22,7635
332,,23,7634
332,,24,7603
332,,25,7604
332,,26,7605
332,,27,7606
332,,28,7607
332,,29,7608
332,,30,7609
332,,31,7610
332,,32,7611
332,,33,7612
332,,34,7613
332,,35,7614
332,,36,7615
332,,37,7616
332,,38,7617
332,,39,7618
332,,40,7619
280,,0,7706
280,,1,7703
280,,2,7702
280,,3,7701
280,,4,7700
280,,5,7699
280,,6,7696
280,,7,7694
280,,8,7693
280,,9,7601
280,,10,7594
280,,11,7592
280,,12,7590
280,,13,7589
280,,14,7603
280,,15,7606
280,,16,7609
280,,17,7610
280,,18,7611
280,,19,7612
280,,20,7613
280,,21,7616
280,,22,7617
537,,1,1303
537,,2,1305
537,,3,1413
537,,4,1414
544,,1,1405
544,,2,1406
544,,3,1407
544,,4,6370
544,,5,5136
544,,6,3648
544,,7,4525
544,,8,3409
544,,9,6448
544,,10,6451
544,,11,6447
544,,12,4661
544,,13,5147
544,,14,1754
544,,15,4660
544,,16,5587
27,A,1,7750
27,A,2,354
27,A,3,356
27,A,4,2804
27,A,5,2805
27,A,6,2806
27,A,7,2044
27,A,8,2045
27,A,9,2046
27,A,10,2047
27,A,11,2441
27,A,12,2807
27,A,13,2808
27,A,14,2809
27,A,15,4289
27,A,16,4286
27,A,17,2908
27,A,18,868
27,A,19,870
27,A,20,872
27,A,21,874
27,A,22,876
27,A,23,878
27,A,24,880
27,A,25,882
27,A,26,884
27,A,27,886
27,A,28,887
27,A,29,888
27,A,30,889
27,A,31,890
27,A,32,891
27,A,33,892
27,A,34,894
27,A,35,896
27,A,36,899
27,A,37,902
27,A,38,905
27,A,39,908
27,A,40,910
27,A,41,912
27,A,42,914
27,A,43,916
27,A,44,918
27,A,45,920
27,A,46,1510
27,A,47,1511
27,A,48,1000
27,A,49,3580
27,A,50,3577
27,A,51,4753
27,A,52,3574
27,A,53,3570
