idRuta,tipoRuta,codigoRuta,rutaNombre,rutaLink
170,8,C53,Unicentro - Acacias Sur,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=170&tr=&estacion=&tipoRuta=8
171,8,C7,Juan José Rondón - Germania,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=171&tr=&estacion=&tipoRuta=8
99,8,C701,Metrovivienda - Restrepo,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=99&tr=&estacion=&tipoRuta=8
172,8,C77,Tintalá - Tibabita,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=172&tr=&estacion=&tipoRuta=8
173,8,C80,Boitá - Las Aguas,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=173&tr=&estacion=&tipoRuta=8
174,8,C97,Lomas - San Cipriano,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=174&tr=&estacion=&tipoRuta=8
175,8,E16,Bosa San José - Calle 222,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=175&tr=&estacion=&tipoRuta=8
176,8,E17,Villa Gloria - Chicó,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=176&tr=&estacion=&tipoRuta=8
177,8,E23,Villa Gloria - Santa Bárbara,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=177&tr=&estacion=&tipoRuta=8
178,8,E25,Lourdes - Engativá Centro,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=178&tr=&estacion=&tipoRuta=8
179,8,E26A,La Chucua - Porciúncula,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=179&tr=&estacion=&tipoRuta=8
180,8,E26B,Corpas - Cantón Norte,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=180&tr=&estacion=&tipoRuta=8
181,8,E43,Villa Gloria - Chicó,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=181&tr=&estacion=&tipoRuta=8
182,8,E44,El Virrey - Mirandela,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=182&tr=&estacion=&tipoRuta=8
183,8,E46,Metrovivienda - Verbenal,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=183&tr=&estacion=&tipoRuta=8
184,8,E57,Casablanca - El Uval,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=184&tr=&estacion=&tipoRuta=8
185,8,E60,Bosa Palestina - Calle 222,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=185&tr=&estacion=&tipoRuta=8
186,8,E61,Casablanca - Porciúncula,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=186&tr=&estacion=&tipoRuta=8
