estId,estSITPNumber,estNombre,estDireccion,estLink,estlongtitude,estlatitude
2518,054A04,El Madrigal,AK 96 - CL 75A,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=2518,"-74,110978","4,705264"
2716,056A04,AC 72,AK 96 - AC 72,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=2716,"-74,113609","4,702211"
179,184B05,C.C. Mi Placita,AC 68 - KR 65A,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=179,"-74,084319","4,675002"
181,185B05,IED Centro Obrero,AC 68 - KR 62,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=181,"-74,082769","4,672721"
183,186B05,Pq. Público Modelo,AC 68 - KR 57,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=183,"-74,080001","4,668657"
185,187B05,Hsp. Infantil San José,AC 68 - KR 52,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=185,"-74,078053","4,665831"
186,149A00,IED Alemania Solidaria Sede C,CL 66 - KR 28B,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=186,"-74,075051","4,660272"
188,150A00,Colegio Marillac,CL 66 - KR 27A,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=188,"-74,073732","4,659355"
190,151A00,Almacenes Tía,CL 66 - KR 24,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=190,"-74,071477","4,657814"
1927,192A00,Br. Rafael Uribe,CL 66 - KR 21,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=1927,"-74,069317","4,656163"
1855,152A00,Carrera 17,CL 66 - KR 17,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=1855,"-74,067201","4,654703"
2109,153A00,Avenida Caracas,CL 66 - AV. Caracas,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=2109,"-74,064523","4,653316"
324,230A00,Centro Cosmos 64,AK 13 - CL 64,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=324,"-74,063259","4,651485"
3739,144A03,Santa Rita de Suba,CL 138 - KR 154,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=3739,"-74,125769","4,744643"
3740,145A03,San Pedro,CL 138 - KR 151A,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=3740,"-74,121433","4,746163"
3741,148A03,San Pedro,KR 149B - CL 138,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=3741,"-74,120716","4,747114"
3742,150A03,Berlín,CL 139 - KR 147,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=3742,"-74,118472","4,74728"
3743,152A03,Berlín,CL 139 - KR 140A,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=3743,"-74,115517","4,746994"
4381,372A03,San Carlos de Tibabuyes,KR 136A - CL 142A,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=4381,"-74,113334","4,747592"
4382,402A03,Sabana de Tibabuyes,CL 143 - KR 129A,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=4382,"-74,111533","4,749312"
5399,318A03,Sabana de Tibabuyes,CL 143 - KR 127C,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=5399,"-74,108357","4,74848"
4383,064A03,Br. San Andrés Afidro,CL 143A - KR 127C,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=4383,"-74,107555","4,749619"
2268,193A03,ETB Tibabuyes,AV. Suba - KR 114C,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=2268,"-74,103496","4,750267"
2269,194A03,Pq. Ciudad Cafam,AV. Suba - KR 113B,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=2269,"-74,102","4,749517"
2270,195A03,Gimnasio Santo Tomás,AV. Suba - KR 109C,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=2270,"-74,099695","4,748435"
2258,196A03,Portal de Suba,AV. Suba - KR 106,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=2258,"-74,097071","4,746825"
2399,563A03,El Poa,AV. Suba - KR 103B,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=2399,"-74,094666","4,745154"
